method,family,status,source,evidence,conclusion
XGBoost-Semi-KO-非线性均值+条件尺度,条件矩扩展,完整实测,ICML 2026 Semi-knockoffs及条件抽样扩展,论文/v7/supplement_20260913,纠正无解阈值返回值；估计条件矩不自动享有有限样本保证；不声称原创优先权
TabM-Semi-KO-Ridge均值,条件矩扩展,完整实测,ICML 2026 Semi-knockoffs及条件抽样扩展,论文/v7/supplement_20260913,纠正无解阈值返回值；估计条件矩不自动享有有限样本保证；不声称原创优先权
TabM-Semi-KO-非线性均值,条件矩扩展,完整实测,ICML 2026 Semi-knockoffs及条件抽样扩展,论文/v7/supplement_20260913,纠正无解阈值返回值；估计条件矩不自动享有有限样本保证；不声称原创优先权
TabM-Semi-KO-条件尺度,条件矩扩展,完整实测,ICML 2026 Semi-knockoffs及条件抽样扩展,论文/v7/supplement_20260913,纠正无解阈值返回值；估计条件矩不自动享有有限样本保证；不声称原创优先权
TabM-Semi-KO-非线性均值+条件尺度,条件矩扩展,完整实测,ICML 2026 Semi-knockoffs及条件抽样扩展,论文/v7/supplement_20260913,纠正无解阈值返回值；估计条件矩不自动享有有限样本保证；不声称原创优先权
DeepDRK,退出候选,训练/运行后退出,NeurIPS 2024,论文/v7/vendor/DeepDRK,三种子真实训练，生成诊断失败；未完成全套模拟稳定性
TabPFN v2,退出候选,训练/运行后退出,Nature 2025,论文/v7/logs,MPS内存失败；不是统计效果差，也不填零
MAFS attention-like过滤法,参考方法,仅参考/代码已取得未完整实测,10.1016/j.knosys.2024.112250,论文/v7,仅文献核验，不是已训练的多头深度模型
DeepPINK,参考方法,仅参考/代码已取得未完整实测,https://arxiv.org/abs/1809.01185,论文/v7,参考成对深度选择；未计作本轮完整基线
DeepPIG,参考方法,仅参考/代码已取得未完整实测,10.1038/s41598-024-66061-6,论文/v7,成对层加随机门已有先例；未完整实测
Stabl,参考方法,仅参考/代码已取得未完整实测,10.1038/s41587-023-02033-x,论文/v7,参考可靠性/稀疏性评价；未完整实测
ChronoEpilogi,参考方法,仅参考/代码已取得未完整实测,NeurIPS 2024；见局部探索文献说明,论文/v7,多个等效特征集合；未完整实测
ConsistentFeature,参考方法,仅参考/代码已取得未完整实测,https://arxiv.org/abs/2412.01476v2,论文/v7,跨子集一致性已有研究；未完整实测
Stochastic Gates,参考方法,仅参考/代码已取得未完整实测,https://proceedings.mlr.press/v119/yamada20a.html,论文/v7,输入门并非本项目发明；未单独完整复现
Structured Nonlinear Variable Selection,参考方法,仅参考/代码已取得未完整实测,https://auai.org/uai2018/proceedings/papers/17.pdf,论文/v7,偏导数正则已有文献；未单独完整复现
LassoFlexNet,参考方法,仅参考/代码已取得未完整实测,https://icml.cc/virtual/2026/poster/62560,论文/v7,下载仓库只标code coming soon，没有实测结果
Adversarial/SAM LassoNet,参考方法,仅参考/代码已取得未完整实测,本地innovation_benchmark/vendor/AdversarialLassoNet,论文/v7,下载了代码；无完整结果，不能冒认论文复现
Temporal Modulation,参考方法,仅参考/代码已取得未完整实测,本地innovation_benchmark/vendor/TemporalModulation,论文/v7,下载代码但未有完整公平结果
非参数顺序/并行残差Knockoff,参考方法,仅参考/代码已取得未完整实测,https://arxiv.org/abs/2407.06892,论文/v7/supplement_20260913/references,阅读生成诊断与近似条件；未本轮运行该生成器
GRIP2原论文,参考方法,仅参考/代码已取得未完整实测,https://arxiv.org/abs/2602.00218v1,论文/v7/supplement_20260913/references,本轮阅读全文和实现细节；旧式实现不能等同官方完整复现
HRT/dCRT/LOCO,参考方法,仅参考/代码已取得未完整实测,Semi-knockoffs 2026相关工作与作者实验代码,论文/v7/supplement_20260913/references,只研究比较关系，未在本轮统一运行
